symbol,strike,iv,last_price,expiry,type,underlying_price,moneyyyyy,expiry_dt,T,d2,exercise_prob
AAPL US 02/20/26 C100 Equity,100.0,48.21291,164.07,2/20/2026,Call,263.878,ITM,2026-02-20,0.0,,
AAPL US 02/20/26 C120 Equity,120.0,39.13188,144.14,2/20/2026,Call,263.81,ITM,2026-02-20,0.0,,
AAPL US 02/20/26 C125 Equity,125.0,35.4246,138.9,2/20/2026,Call,263.81,ITM,2026-02-20,0.0,,
AAPL US 02/20/26 C140 Equity,140.0,32.06045,124.25,2/20/2026,Call,263.8,ITM,2026-02-20,0.0,,
AAPL US 02/20/26 C145 Equity,145.0,31.3927,115.02,2/20/2026,Call,263.81,ITM,2026-02-20,0.0,,
AAPL US 02/20/26 C210 Equity,210.0,14.463320000000001,54.49,2/20/2026,Call,263.8181,ITM,2026-02-20,0.0,,
AAPL US 02/20/26 C220 Equity,220.0,9.982073,44.5,2/20/2026,Call,263.8,ITM,2026-02-20,0.0,,
AAPL US 02/20/26 C230 Equity,230.0,6.325575,33.93,2/20/2026,Call,263.8181,ITM,2026-02-20,0.0,,
AAPL US 02/20/26 C235 Equity,235.0,6.2998069999999995,28.8,2/20/2026,Call,263.8,ITM,2026-02-20,0.0,,
AAPL US 02/20/26 C240 Equity,240.0,6.761502,24.65,2/20/2026,Call,263.8,ITM,2026-02-20,0.0,,
AAPL US 02/20/26 C245 Equity,245.0,4.540853,19.47,2/20/2026,Call,263.8,ITM,2026-02-20,0.0,,
AAPL US 02/20/26 C247.5 Equity,247.5,3.26089,16.71,2/20/2026,Call,263.81,ITM,2026-02-20,0.0,,
AAPL US 02/20/26 C250 Equity,250.0,2.826118,14.44,2/20/2026,Call,263.81,ITM,2026-02-20,0.0,,
AAPL US 02/20/26 C252.5 Equity,252.5,3.9281599999999997,13.0,2/20/2026,Call,263.81,ITM,2026-02-20,0.0,,
AAPL US 02/20/26 C255 Equity,255.0,2.641743,10.0,2/20/2026,Call,263.81,ITM,2026-02-20,0.0,,
AAPL US 02/20/26 C257.5 Equity,257.5,2.072037,6.9,2/20/2026,Call,263.81,ITM,2026-02-20,0.0,,
AAPL US 02/20/26 C260 Equity,260.0,0.9578412000000001,4.38,2/20/2026,Call,263.81,ITM,2026-02-20,0.0,,
AAPL US 02/20/26 C262.5 Equity,262.5,0.5486182000000001,1.85,2/20/2026,Call,263.8181,ITM,2026-02-20,0.0,,
AAPL US 02/20/26 C265 Equity,265.0,0.4202859,0.14,2/20/2026,Call,263.81,OTM,2026-02-20,0.0,,
AAPL US 02/20/26 C267.5 Equity,267.5,0.6931279,0.01,2/20/2026,Call,263.8181,OTM,2026-02-20,0.0,,
AAPL US 02/20/26 C270 Equity,270.0,1.0599049999999999,0.01,2/20/2026,Call,263.8,OTM,2026-02-20,0.0,,
AAPL US 02/20/26 C272.5 Equity,272.5,1.3544999999999998,0.01,2/20/2026,Call,263.8181,OTM,2026-02-20,0.0,,
AAPL US 02/20/26 C275 Equity,275.0,1.7547249999999999,0.01,2/20/2026,Call,263.8,OTM,2026-02-20,0.0,,
AAPL US 02/20/26 C277.5 Equity,277.5,2.214515,0.01,2/20/2026,Call,263.8,OTM,2026-02-20,0.0,,
AAPL US 02/20/26 C280 Equity,280.0,2.573191,0.01,2/20/2026,Call,263.81,OTM,2026-02-20,0.0,,
AAPL US 02/20/26 C282.5 Equity,282.5,2.5272200000000002,0.01,2/20/2026,Call,263.81,OTM,2026-02-20,0.0,,
AAPL US 02/20/26 C285 Equity,285.0,2.825384,0.01,2/20/2026,Call,263.8181,OTM,2026-02-20,0.0,,
AAPL US 02/20/26 C287.5 Equity,287.5,3.11702,0.01,2/20/2026,Call,263.81,OTM,2026-02-20,0.0,,
AAPL US 02/20/26 C290 Equity,290.0,3.398522,0.01,2/20/2026,Call,263.8,OTM,2026-02-20,0.0,,
AAPL US 02/20/26 C292.5 Equity,292.5,4.325347,0.01,2/20/2026,Call,263.8,OTM,2026-02-20,0.0,,
AAPL US 02/20/26 C295 Equity,295.0,3.962133,0.01,2/20/2026,Call,263.8181,OTM,2026-02-20,0.0,,
